Model, Type, Min.Price, Price, Max.Price, MPG.city, MPG.highway
Integra, Small, 12.9, 15.9, 18.8, 25, 31
Legend, Midsize, 29.2, 33.9, 38.7, 18, 25
90, Compact, 25.9, 29.1, 32.3, 20, 26
100, Midsize, 30.8, 37.7, 44.6, 19, 26
535i, Midsize, 23.7, 30, 36.2, 22, 30
Century, Midsize, 14.2, 15.7, 17.3, 22, 31
LeSabre, Large, 19.9, 20.8, 21.7, 19, 28
Roadmaster, Large, 22.6, 23.7, 24.9, 16, 25
Riviera, Midsize, 26.3, 26.3, 26.3, 19, 27
DeVille, Large, 33, 34.7, 36.3, 16, 25
Seville, Midsize, 37.5, 40.1, 42.7, 16, 25
Cavalier, Compact, 8.5, 13.4, 18.3, 25, 36
Corsica, Compact, 11.4, 11.4, 11.4, 25, 34
Camaro, Sporty, 13.4, 15.1, 16.8, 19, 28
Lumina, Midsize, 13.4, 15.9, 18.4, 21, 29
Lumina_APV, Van, 14.7, 16.3, 18, 18, 23
Astro, Van, 14.7, 16.6, 18.6, 15, 20
Caprice, Large, 18, 18.8, 19.6, 17, 26
Corvette, Sporty, 34.6, 38, 41.5, 17, 25
Concorde, Large, 18.4, 18.4, 18.4, 20, 28
LeBaron, Compact, 14.5, 15.8, 17.1, 23, 28
Imperial, Large, 29.5, 29.5, 29.5, 20, 26
Colt, Small, 7.9, 9.2, 10.6, 29, 33
Shadow, Small, 8.4, 11.3, 14.2, 23, 29
Spirit, Compact, 11.9, 13.3, 14.7, 22, 27
Caravan, Van, 13.6, 19, 24.4, 17, 21
Dynasty, Midsize, 14.8, 15.6, 16.4, 21, 27
Stealth, Sporty, 18.5, 25.8, 33.1, 18, 24
Summit, Small, 7.9, 12.2, 16.5, 29, 33
Vision, Large, 17.5, 19.3, 21.2, 20, 28
Festiva, Small, 6.9, 7.4, 7.9, 31, 33
Escort, Small, 8.4, 10.1, 11.9, 23, 30
Tempo, Compact, 10.4, 11.3, 12.2, 22, 27
Mustang, Sporty, 10.8, 15.9, 21, 22, 29
Probe, Sporty, 12.8, 14, 15.2, 24, 30
Aerostar, Van, 14.5, 19.9, 25.3, 15, 20
Taurus, Midsize, 15.6, 20.2, 24.8, 21, 30
Crown_Victoria, Large, 20.1, 20.9, 21.7, 18, 26
Metro, Small, 6.7, 8.4, 10, 46, 50
Storm, Sporty, 11.5, 12.5, 13.5, 30, 36
Prelude, Sporty, 17, 19.8, 22.7, 24, 31
Civic, Small, 8.4, 12.1, 15.8, 42, 46
Accord, Compact, 13.8, 17.5, 21.2, 24, 31
Excel, Small, 6.8, 8, 9.2, 29, 33
Elantra, Small, 9, 10, 11, 22, 29
Scoupe, Sporty, 9.1, 10, 11, 26, 34
Sonata, Midsize, 12.4, 13.9, 15.3, 20, 27
Q45, Midsize, 45.4, 47.9, 50.4, 17, 22
ES300, Midsize, 27.5, 28, 28.4, 18, 24
SC300, Midsize, 34.7, 35.2, 35.6, 18, 23
Continental, Midsize, 33.3, 34.3, 35.3, 17, 26
Town_Car, Large, 34.4, 36.1, 37.8, 18, 26
323, Small, 7.4, 8.3, 9.1, 29, 37
Protege, Small, 10.9, 11.6, 12.3, 28, 36
626, Compact, 14.3, 16.5, 18.7, 26, 34
MPV, Van, 16.6, 19.1, 21.7, 18, 24
RX-7, Sporty, 32.5, 32.5, 32.5, 17, 25
190E, Compact, 29, 31.9, 34.9, 20, 29
300E, Midsize, 43.8, 61.9, 80, 19, 25
Capri, Sporty, 13.3, 14.1, 15, 23, 26
Cougar, Midsize, 14.9, 14.9, 14.9, 19, 26
Mirage, Small, 7.7, 10.3, 12.9, 29, 33
Diamante, Midsize, 22.4, 26.1, 29.9, 18, 24
Sentra, Small, 8.7, 11.8, 14.9, 29, 33
Altima, Compact, 13, 15.7, 18.3, 24, 30
Quest, Van, 16.7, 19.1, 21.5, 17, 23
Maxima, Midsize, 21, 21.5, 22, 21, 26
Achieva, Compact, 13, 13.5, 14, 24, 31
Cutlass_Ciera, Midsize, 14.2, 16.3, 18.4, 23, 31
Silhouette, Van, 19.5, 19.5, 19.5, 18, 23
Eighty-Eight, Large, 19.5, 20.7, 21.9, 19, 28
Laser, Sporty, 11.4, 14.4, 17.4, 23, 30
LeMans, Small, 8.2, 9, 9.9, 31, 41
Sunbird, Compact, 9.4, 11.1, 12.8, 23, 31
Firebird, Sporty, 14, 17.7, 21.4, 19, 28
Grand_Prix, Midsize, 15.4, 18.5, 21.6, 19, 27
Bonneville, Large, 19.4, 24.4, 29.4, 19, 28
900, Compact, 20.3, 28.7, 37.1, 20, 26
SL, Small, 9.2, 11.1, 12.9, 28, 38
Justy, Small, 7.3, 8.4, 9.5, 33, 37
Loyale, Small, 10.5, 10.9, 11.3, 25, 30
Legacy, Compact, 16.3, 19.5, 22.7, 23, 30
Swift, Small, 7.3, 8.6, 10, 39, 43
Tercel, Small, 7.8, 9.8, 11.8, 32, 37
Celica, Sporty, 14.2, 18.4, 22.6, 25, 32
Camry, Midsize, 15.2, 18.2, 21.2, 22, 29
Previa, Van, 18.9, 22.7, 26.6, 18, 22
Fox, Small, 8.7, 9.1, 9.5, 25, 33
Eurovan, Van, 16.6, 19.7, 22.7, 17, 21
Passat, Compact, 17.6, 20, 22.4, 21, 30
Corrado, Sporty, 22.9, 23.3, 23.7, 18, 25
240, Compact, 21.8, 22.7, 23.5, 21, 28
850, Midsize, 24.8, 26.7, 28.5, 20, 28
